student_key,gender,age_band,highest_education,imd_band,disability,region,num_of_prev_attempts,studied_credits,target
11391_AAA_2013J,1,2,1,9,0,0,0,240,1
28400_AAA_2013J,0,1,1,2,0,6,0,60,1
30268_AAA_2013J,0,1,0,3,1,5,0,60,0
31604_AAA_2013J,0,1,0,5,0,7,0,60,1
32885_AAA_2013J,0,0,2,5,0,11,0,60,1
38053_AAA_2013J,1,1,0,8,0,10,0,60,1
45462_AAA_2013J,1,0,1,3,0,6,0,60,1
45642_AAA_2013J,0,0,0,9,0,5,0,120,1
52130_AAA_2013J,0,0,0,7,0,0,0,90,1
53025_AAA_2013J,1,2,4,10,0,4,0,60,1
57506_AAA_2013J,1,1,2,7,0,8,0,60,1
58873_AAA_2013J,0,0,0,2,0,0,0,60,1
59185_AAA_2013J,1,1,2,6,0,0,0,60,1
62155_AAA_2013J,0,0,1,5,0,5,0,60,1
63400_AAA_2013J,1,1,2,4,0,6,0,60,1
65002_AAA_2013J,0,0,0,7,0,0,0,60,0
70464_AAA_2013J,0,1,0,6,0,11,0,60,1
71361_AAA_2013J,1,1,1,10,0,2,0,60,1
74372_AAA_2013J,1,1,0,1,0,0,0,150,0
75091_AAA_2013J,1,1,0,3,0,9,0,60,1
77367_AAA_2013J,1,0,0,3,0,1,0,60,1
91265_AAA_2013J,1,0,1,0,0,5,0,60,1
94961_AAA_2013J,1,1,2,7,0,8,0,60,0
98094_AAA_2013J,1,1,2,7,0,10,0,60,1
100893_AAA_2013J,1,0,0,2,0,12,0,60,1
101781_AAA_2013J,1,1,2,8,0,8,0,60,1
102806_AAA_2013J,1,0,0,3,0,5,0,60,1
102952_AAA_2013J,1,0,1,6,0,3,0,60,1
104476_AAA_2013J,1,1,4,10,0,2,0,60,1
106247_AAA_2013J,1,1,1,8,0,8,0,60,0
106577_AAA_2013J,1,0,2,2,0,1,0,60,1
110175_AAA_2013J,1,1,1,8,0,0,0,60,1
111717_AAA_2013J,0,1,1,9,0,0,0,60,1
113295_AAA_2013J,1,1,2,6,0,12,0,60,1
114017_AAA_2013J,0,1,4,10,0,4,0,60,1
114999_AAA_2013J,1,1,1,6,0,12,0,60,1
116541_AAA_2013J,1,0,1,0,0,10,0,60,1
116692_AAA_2013J,1,1,0,7,0,0,0,60,1
118983_AAA_2013J,1,0,1,3,0,1,0,120,1
123044_AAA_2013J,1,1,0,4,0,8,0,60,1
127582_AAA_2013J,0,0,0,4,0,1,0,180,1
129955_AAA_2013J,1,0,0,5,0,11,0,60,0
132976_AAA_2013J,0,1,2,8,0,0,0,120,1
