student_key,total_clicks_early,mean_clicks_per_day_early,max_clicks_in_a_day_early,active_days_early,activity_span_early,consistency_early,target
11391_AAA_2013J,401.0,6.683333333333334,76.0,8.0,23.0,0.34782608695652173,1
28400_AAA_2013J,550.0,3.6912751677852347,19.0,18.0,34.0,0.5294117647058824,1
30268_AAA_2013J,281.0,3.6973684210526314,23.0,12.0,22.0,0.5454545454545454,0
31604_AAA_2013J,478.0,3.514705882352941,22.0,21.0,35.0,0.6,1
32885_AAA_2013J,567.0,3.7549668874172184,22.0,24.0,36.0,0.6666666666666666,1
38053_AAA_2013J,727.0,3.9086021505376345,20.0,32.0,35.0,0.9142857142857143,1
45462_AAA_2013J,499.0,5.8023255813953485,48.0,14.0,37.0,0.3783783783783784,1
45642_AAA_2013J,409.0,2.880281690140845,12.0,18.0,36.0,0.5,1
52130_AAA_2013J,351.0,3.375,18.0,17.0,30.0,0.5666666666666667,1
53025_AAA_2013J,558.0,3.875,38.0,19.0,34.0,0.5588235294117647,1
57506_AAA_2013J,515.0,4.186991869918699,34.0,24.0,36.0,0.6666666666666666,1
58873_AAA_2013J,473.0,4.113043478260869,34.0,19.0,37.0,0.5135135135135135,1
59185_AAA_2013J,481.0,4.625,28.0,16.0,35.0,0.45714285714285713,1
62155_AAA_2013J,635.0,4.7388059701492535,29.0,21.0,37.0,0.5675675675675675,1
63400_AAA_2013J,710.0,4.303030303030303,22.0,28.0,37.0,0.7567567567567568,1
65002_AAA_2013J,94.0,3.6153846153846154,12.0,6.0,27.0,0.2222222222222222,0
70464_AAA_2013J,405.0,4.6022727272727275,22.0,13.0,34.0,0.38235294117647056,1
71361_AAA_2013J,1023.0,3.980544747081712,28.0,32.0,37.0,0.8648648648648649,1
74372_AAA_2013J,39.0,1.6956521739130435,4.0,5.0,32.0,0.15625,0
75091_AAA_2013J,943.0,5.297752808988764,55.0,26.0,36.0,0.7222222222222222,1
77367_AAA_2013J,293.0,2.7904761904761903,15.0,24.0,35.0,0.6857142857142857,1
91265_AAA_2013J,331.0,3.31,17.0,18.0,35.0,0.5142857142857142,1
94961_AAA_2013J,287.0,3.4578313253012047,17.0,17.0,36.0,0.4722222222222222,0
98094_AAA_2013J,1096.0,7.2105263157894735,43.0,28.0,37.0,0.7567567567567568,1
100893_AAA_2013J,133.0,2.293103448275862,12.0,13.0,36.0,0.3611111111111111,1
101781_AAA_2013J,1387.0,6.191964285714286,53.0,25.0,36.0,0.6944444444444444,1
102806_AAA_2013J,543.0,3.4150943396226414,15.0,31.0,37.0,0.8378378378378378,1
102952_AAA_2013J,369.0,3.967741935483871,29.0,13.0,29.0,0.4482758620689655,1
104476_AAA_2013J,1245.0,4.645522388059701,45.0,30.0,37.0,0.8108108108108109,1
106247_AAA_2013J,47.0,2.764705882352941,17.0,3.0,4.0,0.75,0
106577_AAA_2013J,318.0,3.925925925925926,24.0,12.0,35.0,0.34285714285714286,1
110175_AAA_2013J,202.0,2.4634146341463414,14.0,14.0,34.0,0.4117647058823529,1
111717_AAA_2013J,649.0,4.879699248120301,43.0,22.0,37.0,0.5945945945945946,1
113295_AAA_2013J,965.0,5.105820105820106,38.0,25.0,36.0,0.6944444444444444,1
114017_AAA_2013J,343.0,4.454545454545454,25.0,10.0,24.0,0.4166666666666667,1
114999_AAA_2013J,343.0,3.0353982300884956,21.0,21.0,35.0,0.6,1
116541_AAA_2013J,455.0,4.739583333333333,31.0,18.0,27.0,0.6666666666666666,1
116692_AAA_2013J,518.0,5.285714285714286,26.0,17.0,36.0,0.4722222222222222,1
118983_AAA_2013J,59.0,2.36,9.0,7.0,29.0,0.2413793103448276,1
123044_AAA_2013J,593.0,4.669291338582677,38.0,18.0,37.0,0.4864864864864865,1
127582_AAA_2013J,288.0,2.526315789473684,15.0,19.0,37.0,0.5135135135135135,1
129955_AAA_2013J,363.0,3.1025641025641026,31.0,24.0,36.0,0.6666666666666666,0
132976_AAA_2013J,146.0,4.424242424242424,18.0,7.0,37.0,0.1891891891891892,1
134143_AAA_2013J,666.0,7.010526315789473,72.0,20.0,36.0,0.5555555555555556,1
135335_AAA_2013J,57.0,2.28,7.0,10.0,34.0,0.29411764705882354,0
135400_AAA_2013J,204.0,3.1384615384615384,16.0,14.0,25.0,0.56,0
137873_AAA_2013J,919.0,4.274418604651163,35.0,24.0,37.0,0.6486486486486487,1
141355_AAA_2013J,522.0,3.7553956834532376,18.0,17.0,34.0,0.5,1
141377_AAA_2013J,7.0,1.4,3.0,3.0,14.0,0.21428571428571427,0
142326_AAA_2013J,403.0,4.477777777777778,34.0,11.0,31.0,0.3548387096774194,1
144801_AAA_2013J,1115.0,3.596774193548387,25.0,32.0,36.0,0.8888888888888888,1
145130_AAA_2013J,219.0,3.65,32.0,10.0,35.0,0.2857142857142857,1
146188_AAA_2013J,132.0,2.693877551020408,13.0,8.0,32.0,0.25,0
147756_AAA_2013J,382.0,3.537037037037037,19.0,25.0,36.0,0.6944444444444444,0
147793_AAA_2013J,21.0,2.1,6.0,4.0,33.0,0.12121212121212122,0
148993_AAA_2013J,775.0,3.6384976525821595,32.0,33.0,37.0,0.8918918918918919,0
