student_key,total_clicks_mid,mean_clicks_per_day_mid,max_clicks_in_a_day_mid,active_days_mid,activity_span_mid,consistency_mid,target
11391_AAA_2013J,710.0,5.338345864661654,76.0,29.0,134.0,0.21641791044776118,1
28400_AAA_2013J,986.0,3.3087248322147653,19.0,50.0,144.0,0.3472222222222222,1
30268_AAA_2013J,281.0,3.6973684210526314,23.0,12.0,22.0,0.5454545454545454,0
31604_AAA_2013J,1413.0,3.4213075060532687,22.0,76.0,145.0,0.5241379310344828,1
32885_AAA_2013J,799.0,3.4588744588744587,22.0,47.0,144.0,0.3263888888888889,1
38053_AAA_2013J,1312.0,3.425587467362924,20.0,76.0,143.0,0.5314685314685315,1
45462_AAA_2013J,912.0,4.30188679245283,48.0,52.0,144.0,0.3611111111111111,1
45642_AAA_2013J,879.0,2.5777126099706744,15.0,61.0,142.0,0.4295774647887324,1
52130_AAA_2013J,1069.0,3.340625,18.0,67.0,138.0,0.4855072463768116,1
53025_AAA_2013J,1929.0,3.539449541284404,38.0,84.0,134.0,0.6268656716417911,1
57506_AAA_2013J,973.0,3.713740458015267,34.0,61.0,140.0,0.4357142857142857,1
58873_AAA_2013J,1106.0,3.6866666666666665,34.0,70.0,145.0,0.4827586206896552,1
59185_AAA_2013J,861.0,3.6176470588235294,28.0,42.0,141.0,0.2978723404255319,1
62155_AAA_2013J,2126.0,3.5140495867768595,29.0,88.0,144.0,0.6111111111111112,1
63400_AAA_2013J,1840.0,4.191343963553531,42.0,93.0,145.0,0.6413793103448275,1
65002_AAA_2013J,171.0,3.1666666666666665,14.0,11.0,106.0,0.10377358490566038,0
70464_AAA_2013J,676.0,4.4183006535947715,22.0,33.0,145.0,0.22758620689655173,1
71361_AAA_2013J,1735.0,3.5408163265306123,28.0,81.0,145.0,0.5586206896551724,1
74372_AAA_2013J,84.0,1.68,11.0,10.0,125.0,0.08,0
75091_AAA_2013J,1872.0,4.599508599508599,55.0,69.0,145.0,0.47586206896551725,1
77367_AAA_2013J,527.0,2.7025641025641027,16.0,55.0,145.0,0.3793103448275862,1
91265_AAA_2013J,923.0,3.128813559322034,19.0,68.0,142.0,0.4788732394366197,1
94961_AAA_2013J,339.0,3.323529411764706,17.0,24.0,65.0,0.36923076923076925,0
98094_AAA_2013J,2157.0,8.018587360594795,67.0,57.0,145.0,0.3931034482758621,1
100893_AAA_2013J,457.0,3.0878378378378377,24.0,33.0,144.0,0.22916666666666666,1
101781_AAA_2013J,2618.0,5.288888888888889,53.0,82.0,145.0,0.5655172413793104,1
102806_AAA_2013J,1136.0,2.7373493975903616,15.0,99.0,145.0,0.6827586206896552,1
102952_AAA_2013J,727.0,4.06145251396648,29.0,31.0,130.0,0.23846153846153847,1
104476_AAA_2013J,2400.0,4.715127701375246,45.0,78.0,145.0,0.5379310344827586,1
