feature_set,model,fold,metric,score
demographic,logistic_regression,0,accuracy,0.6057677557907655
demographic,logistic_regression,0,precision,0.5887915936952715
demographic,logistic_regression,0,recall,0.5463113422164446
demographic,logistic_regression,0,f1,0.566756574511126
demographic,logistic_regression,1,accuracy,0.6053075625095874
demographic,logistic_regression,1,precision,0.5893617021276596
demographic,logistic_regression,1,recall,0.5401364965875853
demographic,logistic_regression,1,f1,0.5636764456503307
demographic,logistic_regression,2,accuracy,0.6020862095413407
demographic,logistic_regression,2,precision,0.5818921668362157
demographic,logistic_regression,2,recall,0.5576860578485537
demographic,logistic_regression,2,f1,0.5695320278791902
demographic,logistic_regression,3,accuracy,0.6066277999386315
demographic,logistic_regression,3,precision,0.5893416927899686
demographic,logistic_regression,3,recall,0.5498862528436789
demographic,logistic_regression,3,f1,0.5689307330195024
demographic,logistic_regression,4,accuracy,0.5940472537588217
demographic,logistic_regression,4,precision,0.5752706950750961
demographic,logistic_regression,4,recall,0.5352616184595385
demographic,logistic_regression,4,f1,0.5545454545454546
demographic,decision_tree,0,accuracy,0.5666513268906274
demographic,decision_tree,0,precision,0.5472972972972973
demographic,decision_tree,0,recall,0.4738381540461489
demographic,decision_tree,0,f1,0.507925448528131
demographic,decision_tree,1,accuracy,0.5637367694431661
demographic,decision_tree,1,precision,0.5433246560059501
demographic,decision_tree,1,recall,0.4748131296717582
demographic,decision_tree,1,f1,0.5067637877211238
demographic,decision_tree,2,accuracy,0.5594416321521706
demographic,decision_tree,2,precision,0.5372591784805525
demographic,decision_tree,2,recall,0.48033799155021123
demographic,decision_tree,2,f1,0.5072065888812629
demographic,decision_tree,3,accuracy,0.5652040503221847
demographic,decision_tree,3,precision,0.5445544554455446
demographic,decision_tree,3,recall,0.4826129346766331
demographic,decision_tree,3,f1,0.5117160578911096
demographic,decision_tree,4,accuracy,0.5552316661552623
demographic,decision_tree,4,precision,0.5327205882352941
demographic,decision_tree,4,recall,0.47091322716932077
demographic,decision_tree,4,f1,0.4999137484905986
demographic,random_forest,0,accuracy,0.5707930664212303
demographic,random_forest,0,precision,0.5478559176672384
demographic,random_forest,0,recall,0.5190120246993826
demographic,random_forest,0,f1,0.5330440587449933
demographic,random_forest,1,accuracy,0.5747814081914404
demographic,random_forest,1,precision,0.5512605042016807
demographic,random_forest,1,recall,0.5329866753331167
demographic,random_forest,1,f1,0.541969596827495
demographic,random_forest,2,accuracy,0.5723270440251572
demographic,random_forest,2,precision,0.5478318437603442
demographic,random_forest,2,recall,0.5378615534611635
demographic,random_forest,2,f1,0.54280091833388
demographic,random_forest,3,accuracy,0.5725682724762197
demographic,random_forest,3,precision,0.5485809682804674
demographic,random_forest,3,recall,0.533961650958726
demographic,random_forest,3,f1,0.5411725955204216
demographic,random_forest,4,accuracy,0.5671985271555692
demographic,random_forest,4,precision,0.5429818670248489
demographic,random_forest,4,recall,0.5255118622034449
demographic,random_forest,4,f1,0.5341040462427745
engagement_early,logistic_regression,0,accuracy,0.668047246510201
engagement_early,logistic_regression,0,precision,0.6442338072669826
engagement_early,logistic_regression,0,recall,0.6626584335391615
engagement_early,logistic_regression,0,f1,0.6533162447933355
engagement_early,logistic_regression,1,accuracy,0.6629851204172419
engagement_early,logistic_regression,1,precision,0.6353846153846154
engagement_early,logistic_regression,1,recall,0.6711082222944427
engagement_early,logistic_regression,1,f1,0.6527580211790738
engagement_early,logistic_regression,2,accuracy,0.6622181316152784
engagement_early,logistic_regression,2,precision,0.6365906962222916
engagement_early,logistic_regression,2,recall,0.6626584335391615
engagement_early,logistic_regression,2,f1,0.6493630573248408
engagement_early,logistic_regression,3,accuracy,0.6650813132862842
engagement_early,logistic_regression,3,precision,0.6430857874519846
engagement_early,logistic_regression,3,recall,0.6529086772830679
engagement_early,logistic_regression,3,f1,0.6479600064505725
engagement_early,logistic_regression,4,accuracy,0.6650813132862842
engagement_early,logistic_regression,4,precision,0.6384758364312267
engagement_early,logistic_regression,4,recall,0.6698082547936302
engagement_early,logistic_regression,4,f1,0.653766851704996
engagement_early,decision_tree,0,accuracy,0.5964104924068109
engagement_early,decision_tree,0,precision,0.5744325767690254
engagement_early,decision_tree,0,recall,0.5593110172245694
engagement_early,decision_tree,0,f1,0.5667709534002964
engagement_early,decision_tree,1,accuracy,0.608068722196656
engagement_early,decision_tree,1,precision,0.5855737704918033
engagement_early,decision_tree,1,recall,0.5804354891127722
engagement_early,decision_tree,1,f1,0.5829933083074914
engagement_early,decision_tree,2,accuracy,0.5962570946464182
